customer_id,monthly_potential_eur,upsell_priority
0621-JFHOL,52.3,High
9560-BBZXK,51.94,High
7340-KEFQE,49.23,High
3298-QEICA,48.67,High
9236-NDUCW,48.51,High
0191-EQUUH,48.49,High
0458-HEUZG,48.08,High
6122-EFVKN,48.07,High
8069-RHUXK,47.9,High
3884-UEBXB,47.87,High
6158-DWPZT,47.38,High
8727-XDPUD,47.23,High
9795-VOWON,46.91,High
3417-TSCIC,46.75,High
3069-SSVSN,46.18,High
1696-MZVAU,45.99,High
4940-KHCWD,45.01,High
8046-DNVTL,44.82,High
2162-FRZAA,44.81,High
7963-SHNDT,44.41,High
3635-JBPSG,44.41,High
5472-CVMDX,44.39,High
3511-BFTJW,44.35,High
6119-SPUDB,44.35,High
0979-MOZQI,44.32,High
8242-PDSGJ,44.25,High
8882-TLVRW,44.16,High
1116-FRYVH,43.98,High
0343-QLUZP,43.96,High
0056-EPFBG,43.87,High
9796-MVYXX,43.63,High
7492-TAFJD,43.57,High
3933-DQPWX,43.44,High
9674-EHPPG,43.24,High
2335-GSODA,43.21,High
7758-UJWYS,42.97,High
7665-NKLAV,42.84,High
2996-XAUVF,42.76,High
7321-ZNSLA,42.63,High
3891-NLXJB,42.51,High
7816-VGHTO,42.47,High
0946-FKYTX,42.38,High
9758-MFWGD,42.33,High
4776-XSKYQ,42.19,High
4999-IEZLT,42.15,High
9309-BZGNT,42.1,High
9750-BOOHV,42.07,High
3551-GAEGL,42.03,High
6174-NRBTZ,41.93,High
3908-MKIMJ,41.62,High
0526-SXDJP,41.57,High
4837-PZTIC,41.55,High
1303-SRDOK,41.31,High
3249-VHRIP,39.59,High
0567-XRHCU,39.23,High
9610-WCESF,39.23,High
0895-UADGO,39.13,High
7274-CGTOD,39.07,High
9174-IHETN,38.52,High
4198-VFOEA,38.47,High
0756-MPZRL,38.27,High
2316-ESMLS,38.26,High
5199-FPUSP,38.12,High
0562-KBDVM,38.0,High
6723-CEGQI,37.99,High
0019-GFNTW,37.89,High
3034-ZBEQN,37.64,High
1623-NLDOT,37.46,High
9581-GVBXT,37.45,High
0723-VSOBE,37.39,High
2580-ASVVY,37.34,High
1430-SFQSA,37.33,High
0121-SNYRK,37.18,High
6481-LXPWL,37.16,High
0305-SQECB,37.16,High
8898-KASCD,37.13,High
0017-DINOC,37.12,High
2259-OUUSZ,37.1,High
1397-XKKWR,37.07,High
5245-VDBUR,37.05,High
5701-GUXDC,37.02,High
3739-YBWAB,37.01,High
9286-BHDQG,36.97,High
5170-PTRKA,36.87,High
4032-RMHCI,36.8,High
2144-ESWKO,36.79,High
7110-BDTWG,36.77,High
3648-GZPHF,36.74,High
4115-UMJFQ,36.73,High
2253-KPMNB,36.73,High
0230-UBYPQ,36.7,High
5227-JSCFE,36.53,High
2073-QBVBI,36.41,High
9885-MFVSU,36.4,High
8780-YRMTT,36.25,High
4872-JCVCA,36.17,High
2361-FJWNO,36.15,High
5126-RCXYW,36.01,High
4676-WLUHT,35.69,High
5671-RQRLP,35.13,High
0369-ZGOVK,34.87,High
0617-AQNWT,34.84,High
0848-SOMKO,34.84,High
6556-DBKZF,34.63,High
3566-CAAYU,34.5,High
6559-ILWKJ,34.46,High
9565-JSNFM,34.42,High
7599-NTMDP,34.32,High
5397-TUPSH,34.31,High
1814-WFGVS,34.18,High
1334-FJSVR,34.17,High
6834-NXDCA,34.16,High
5650-VDUDS,34.12,High
2192-CKRLV,34.11,High
5351-QESIO,34.07,High
7365-BVCJH,34.02,High
6180-YBIQI,34.01,High
3439-GVUSX,34.01,High
9895-VFOXH,34.0,High
5482-PLVPE,34.0,High
1777-JYQPJ,34.0,High
2933-FILNV,33.98,High
4236-UJPWO,33.9,High
8263-JQAIK,33.9,High
9136-ALYBR,33.9,High
4312-GVYNH,33.89,High
5261-QSHQM,33.89,High
5590-YRFJT,33.86,High
2346-DJQTB,33.85,High
8904-OPDCK,33.84,High
2862-PFNIK,33.82,High
5215-LNLDJ,33.81,High
3055-MJDSB,33.8,High
9227-LUNBG,33.8,High
4729-XKASR,33.79,High
2592-SEIFQ,33.78,High
2538-OIMXF,33.77,High
1024-GUALD,33.77,High
6366-ZGQGL,33.77,High
7932-WPTDS,33.77,High
7802-EFKNY,33.73,High
1335-NTIUC,33.73,High
5167-GBFRE,33.73,High
9638-JIQYA,33.72,High
4367-NHWMM,33.71,High
1329-VHWNP,33.7,High
6344-SFJVH,33.67,High
1936-CZAKF,33.66,High
0746-JTRFU,33.66,High
9862-KJTYK,33.65,High
0804-XBFBV,33.63,High
4819-HJPIW,33.63,High
7909-FIOIY,33.62,High
9743-DQKQW,33.61,High
6542-LWGXJ,33.6,High
0616-ATFGB,33.57,High
7089-XXAYG,33.56,High
2672-DZUOY,33.55,High
3058-WQDRE,33.55,High
4815-GBTCD,33.55,High
0023-HGHWL,33.55,High
6032-IGALN,33.54,High
5349-AZPEW,33.54,High
9907-SWKKF,33.54,High
7537-RBWEA,33.54,High
5480-HPRRX,33.54,High
7242-QZLXF,33.53,High
1768-ZAIFU,33.52,High
8993-PHFWD,33.52,High
4987-GQWPO,33.52,High
4195-NZGTA,33.52,High
0612-RTZZA,33.52,High
0277-ORXQS,33.51,High
2209-XADXF,33.51,High
8260-NGFNY,33.51,High
6464-KEXXH,33.51,High
6158-HDPXZ,33.51,High
1559-DTODC,33.5,High
7605-BDWDC,33.49,High
7016-BPGEU,33.49,High
0420-BWTPW,33.49,High
9000-PLFUZ,33.48,High
3797-VTIDR,33.48,High
4282-ACRXS,33.47,High
6345-HOVES,33.44,High
6447-GORXK,33.4,High
9928-BZVLZ,33.38,High
7021-XSNYE,33.35,High
6791-YBNAK,33.27,High
6029-CSMJE,33.25,High
0661-XEYAN,33.24,High
1496-GGSUK,33.24,High
6743-HHQPF,33.19,High
1153-GNOLC,33.18,High
4291-HYEBC,33.09,High
3813-DHBBB,33.08,High
5397-NSKQG,33.06,High
5656-MJEFC,33.03,High
3787-TRIAL,32.97,High
7173-TETGO,32.95,High
0298-XACET,32.83,High
9845-PEEKO,32.68,High
7564-GHCVB,32.67,High
1929-ZCBHE,32.62,High
6670-MFRPK,32.61,High
8319-QBEHW,32.47,High
6967-PEJLL,32.31,High
6810-VCAEX,32.29,High
5125-CNDSP,32.06,High
9495-REDIY,31.86,High
6701-DHKWQ,31.85,High
6114-TCFID,31.78,High
8328-SKJNO,31.77,High
4654-GGUII,31.75,High
1729-VLAZJ,31.74,High
5640-CAXOA,31.62,High
0373-AIVNJ,31.56,High
6950-TWMYB,31.55,High
0308-IVGOK,31.47,High
2606-PKWJB,31.46,High
7325-ENZFI,31.42,High
1206-EHBDD,31.26,High
4039-PIMHX,31.22,High
4472-LVYGI,31.17,High
8745-PVESG,31.14,High
4905-JEFDW,31.12,High
9541-ZPSEA,31.08,High
7666-WKRON,31.05,High
2877-VDUER,31.02,High
0454-OKRCT,30.94,High
6867-ACCZI,30.84,High
7795-CFOCW,30.72,High
6599-GZWCM,30.67,High
9867-XOBQA,30.53,High
1813-JYWTO,30.51,High
8292-FRFZQ,30.46,High
4835-YSJMR,30.44,High
1096-ADRUX,30.4,High
2773-MADBQ,30.39,High
5135-RDDQL,30.29,High
9906-NHHVC,30.15,High
6434-TTGJP,29.99,High
8035-BUYVG,29.91,High
5110-CHOPY,29.84,High
1139-WUOAH,29.82,High
4513-CXYIX,29.81,High
5176-LDKUH,29.74,High
5010-IPEAQ,29.53,High
9040-KZVWO,29.51,High
2197-OMWGI,29.48,High
7191-ADRGF,29.45,High
8819-WFGGJ,29.45,High
3704-IEAXF,29.4,High
2770-NSVDG,29.38,High
6164-HAQTX,29.38,High
7853-OETYL,29.34,High
8587-XYZSF,29.33,High
5583-EJXRD,29.27,High
6034-ZRYCV,29.26,High
0739-UUAJR,29.26,High
0282-NVSJS,29.18,High
0668-OGMHD,29.18,High
5233-GEEAX,29.14,High
5016-ETTFF,29.14,High
6661-EIPZC,29.14,High
3256-EZDBI,29.13,High
3285-UCQVC,29.12,High
1816-FLZDK,29.12,High
6022-KOUQO,29.1,High
5133-VRSAB,29.07,High
6624-JDRDS,29.07,High
9626-WEQRM,29.06,High
0975-VOOVL,28.98,High
6202-DYYFX,28.95,High
5960-MVTUK,28.94,High
1142-WACZW,28.93,High
6235-VDHOM,28.93,High
1442-BQPVU,28.92,High
2826-DXLQO,28.92,High
7636-OWBPG,28.91,High
