customer_id,anomaly_score,is_anomaly,churn_real
1875-QIVME,1.0,1,1
5709-LVOEQ,0.9989,1,0
1371-DWPAZ,0.9892,1,0
2276-YDAVZ,0.9699,1,1
8647-SDTWQ,0.9557,1,0
3370-HXOPH,0.9309,1,0
3519-ZKXGG,0.9281,1,1
1980-KXVPM,0.9144,1,1
4075-WKNIU,0.9088,1,0
8879-XUAHX,0.9085,1,0
5150-ITWWB,0.9048,1,0
4472-LVYGI,0.8991,1,0
2081-VEYEH,0.8874,1,0
1400-MMYXY,0.875,1,1
7817-BOQPW,0.8724,1,1
5671-RQRLP,0.867,1,0
4581-SSPWD,0.8669,1,1
0052-DCKON,0.863,1,0
0329-GTIAJ,0.8442,1,1
6023-YEBUP,0.8412,1,1
6496-SLWHQ,0.8356,1,1
0925-VYDLG,0.8333,1,1
5760-IFJOZ,0.833,1,0
2260-USTRB,0.8325,1,1
4376-KFVRS,0.8289,1,0
3963-RYFNS,0.8251,1,0
2775-SEFEE,0.8229,1,0
5485-WUYWF,0.8204,1,1
5052-PNLOS,0.8171,1,1
9739-JLPQJ,0.817,1,0
2101-RANCD,0.8166,1,0
8433-WXGNA,0.8157,1,1
3750-CKVKH,0.8145,1,1
2889-FPWRM,0.8134,1,1
7321-VGNKU,0.8106,1,0
7929-SKFGK,0.8082,1,0
9701-CDXHR,0.8073,1,0
1096-ADRUX,0.8058,1,0
6993-OHLXR,0.8025,1,1
0637-KVDLV,0.8022,1,1
4713-LZDRV,0.8018,1,1
1996-DBMUS,0.8012,1,0
0164-APGRB,0.7991,1,0
5188-HGMLP,0.7979,1,0
6168-WFVVF,0.7961,1,1
7636-PEPNS,0.7897,1,0
3002-WQZWT,0.7886,1,0
3815-SLMEF,0.7863,1,1
8695-ARGXZ,0.7856,1,0
9944-HKVVB,0.783,1,1
4450-DLLMH,0.7828,1,0
9788-HNGUT,0.7802,1,0
6221-AVQYL,0.7777,1,1
7176-WRTNX,0.7772,1,0
6856-RAURS,0.7766,1,0
8149-AIQCG,0.7765,1,0
1989-PRJHP,0.7763,1,1
7881-EVUAD,0.7747,1,1
8676-TRMJS,0.7712,1,1
8258-GSTJK,0.7698,1,1
3258-SYSWS,0.7691,1,0
0599-XNYDO,0.7688,1,0
3923-CSIHK,0.7678,1,1
9943-VSZUV,0.7661,1,0
9799-CAYJJ,0.7645,1,0
7394-LWLYN,0.7636,1,0
7181-BQYBV,0.7626,1,1
8413-VONUO,0.7621,1,1
2516-VQRRV,0.7619,1,1
8486-AYEQH,0.7604,1,0
7379-FNIUJ,0.7603,1,0
9443-JUBUO,0.7577,1,0
5397-TUPSH,0.7544,1,0
8543-MSDMF,0.7542,1,0
7235-NXZCP,0.7535,1,1
3489-HHPFY,0.7534,1,0
0106-UGRDO,0.7532,1,0
0675-NCDYU,0.7531,1,0
4741-WWJQZ,0.7521,1,0
9505-SQFSW,0.7518,1,0
3396-DKDEL,0.751,1,0
4868-AADLV,0.7506,1,0
9633-XQABV,0.7503,1,0
6351-SCJKT,0.7496,1,0
1303-SRDOK,0.7463,1,0
2957-JIRMN,0.7443,1,0
4450-MDZFX,0.7435,1,0
0531-ZZJWQ,0.7432,1,0
6817-WTYHE,0.7428,1,0
0432-CAJZV,0.7418,1,0
6956-SMUCM,0.7405,1,1
3452-SRFEG,0.7399,1,0
7938-OUHIO,0.7387,1,1
4140-MUHUG,0.7376,1,1
7314-OXENN,0.7367,1,1
3130-ICDUP,0.7358,1,0
2842-BCQGE,0.7357,1,0
7693-QPEFS,0.7351,1,0
4090-KPJIP,0.7348,1,0
7128-GGCNO,0.7344,1,0
2905-KFQUV,0.7332,1,0
1555-DJEQW,0.733,1,1
7576-OYWBN,0.7326,1,1
0685-MLYYM,0.7316,1,1
0442-ZXKVS,0.7306,1,0
5299-SJCZT,0.73,1,1
6424-ELEYH,0.7291,1,1
6077-BDPXA,0.7284,1,0
7218-HKQFK,0.7272,1,1
8329-GWVPJ,0.7264,1,0
7534-BFESC,0.7262,1,1
4512-ZUIYL,0.7256,1,1
0404-SWRVG,0.725,1,1
5649-ANRML,0.7232,1,1
0064-YIJGF,0.7224,1,0
5095-AESKG,0.7212,1,1
