customer_id,churn_score,risk_tier,recommended_action
7439-DKZTW,0.8561,High,Visita urgente - oferta de retencion personalizada
9300-RENDD,0.8561,High,Visita urgente - oferta de retencion personalizada
1761-AEZZR,0.8553,High,Visita urgente - oferta de retencion personalizada
2514-GINMM,0.8553,High,Visita urgente - oferta de retencion personalizada
5960-WPXQM,0.8553,High,Visita urgente - oferta de retencion personalizada
8580-AECUZ,0.8549,High,Visita urgente - oferta de retencion personalizada
8740-CRYFY,0.8547,High,Visita urgente - oferta de retencion personalizada
0318-QUUOB,0.8515,High,Visita urgente - oferta de retencion personalizada
0295-PPHDO,0.8513,High,Visita urgente - oferta de retencion personalizada
6457-USBER,0.8512,High,Visita urgente - oferta de retencion personalizada
2868-MZAGQ,0.8511,High,Visita urgente - oferta de retencion personalizada
4614-NUVZD,0.851,High,Visita urgente - oferta de retencion personalizada
0495-RVCBF,0.8509,High,Visita urgente - oferta de retencion personalizada
9248-OJYKK,0.8508,High,Visita urgente - oferta de retencion personalizada
7206-GZCDC,0.8507,High,Visita urgente - oferta de retencion personalizada
2636-ALXXZ,0.8506,High,Visita urgente - oferta de retencion personalizada
8375-DKEBR,0.8506,High,Visita urgente - oferta de retencion personalizada
9300-AGZNL,0.8505,High,Visita urgente - oferta de retencion personalizada
9497-QCMMS,0.8505,High,Visita urgente - oferta de retencion personalizada
0488-GSLFR,0.8496,High,Visita urgente - oferta de retencion personalizada
6457-GIRWB,0.8492,High,Visita urgente - oferta de retencion personalizada
3428-XZMAZ,0.8492,High,Visita urgente - oferta de retencion personalizada
4910-GMJOT,0.8489,High,Visita urgente - oferta de retencion personalizada
2004-OCQXK,0.8486,High,Visita urgente - oferta de retencion personalizada
1820-TQVEV,0.8485,High,Visita urgente - oferta de retencion personalizada
8058-INTPH,0.8484,High,Visita urgente - oferta de retencion personalizada
5494-HECPR,0.8484,High,Visita urgente - oferta de retencion personalizada
7665-TOALD,0.8482,High,Visita urgente - oferta de retencion personalizada
4871-JTKJF,0.8481,High,Visita urgente - oferta de retencion personalizada
8149-RSOUN,0.848,High,Visita urgente - oferta de retencion personalizada
6502-MJQAE,0.8478,High,Visita urgente - oferta de retencion personalizada
8062-YBDOE,0.847,High,Visita urgente - oferta de retencion personalizada
2506-TNFCO,0.8469,High,Visita urgente - oferta de retencion personalizada
6567-HOOPW,0.8466,High,Visita urgente - oferta de retencion personalizada
5240-IJOQT,0.8464,High,Visita urgente - oferta de retencion personalizada
7594-RQHXR,0.8463,High,Visita urgente - oferta de retencion personalizada
9728-FTTVZ,0.8462,High,Visita urgente - oferta de retencion personalizada
7660-HDPJV,0.8462,High,Visita urgente - oferta de retencion personalizada
6894-LFHLY,0.8458,High,Visita urgente - oferta de retencion personalizada
7254-IQWOZ,0.8452,High,Visita urgente - oferta de retencion personalizada
4988-IQIGL,0.845,High,Visita urgente - oferta de retencion personalizada
5539-TMZLF,0.8449,High,Visita urgente - oferta de retencion personalizada
4550-EVXNY,0.8444,High,Visita urgente - oferta de retencion personalizada
3551-HUAZH,0.8443,High,Visita urgente - oferta de retencion personalizada
2609-IAICY,0.8442,High,Visita urgente - oferta de retencion personalizada
5178-LMXOP,0.8435,High,Visita urgente - oferta de retencion personalizada
