decile,n_customers,n_churners,churn_rate,base_rate,lift,cumulative_customers,cumulative_recall,cumulative_lift
1,140,106,0.7571,0.2654,2.8524,0.0994,0.2834,2.8524
2,141,84,0.5957,0.2654,2.2444,0.1994,0.508,2.5473
3,141,68,0.4823,0.2654,1.8169,0.2995,0.6898,2.3033
4,141,49,0.3475,0.2654,1.3092,0.3996,0.8209,2.0543
5,141,27,0.1915,0.2654,0.7214,0.4996,0.893,1.7874
6,141,13,0.0922,0.2654,0.3473,0.5997,0.9278,1.5471
7,141,16,0.1135,0.2654,0.4275,0.6998,0.9706,1.387
8,141,7,0.0496,0.2654,0.187,0.7999,0.9893,1.2369
9,141,2,0.0142,0.2654,0.0534,0.8999,0.9947,1.1053
10,141,2,0.0142,0.2654,0.0534,1.0,1.0,1.0
