customer_id,tenure,event_observed,churn_prob_within_6m,churn_prob_within_12m,churn_prob_within_24m,survival_risk_tier
3750-CKVKH,2,1,0.3831,0.516,0.6797,High
7855-DIWPO,21,0,0.3827,0.5156,0.6793,High
9728-FTTVZ,1,1,0.3825,0.5154,0.679,High
7660-HDPJV,1,1,0.3825,0.5154,0.679,High
3716-BDVDB,1,1,0.3826,0.5154,0.6791,High
3453-RTHJQ,6,0,0.3826,0.5154,0.6791,High
3428-XZMAZ,1,1,0.3825,0.5153,0.6789,High
6457-GIRWB,1,1,0.3825,0.5153,0.6789,High
7254-IQWOZ,1,1,0.3824,0.5152,0.6788,High
4291-SHSBH,7,0,0.3824,0.5152,0.6789,High
7665-TOALD,1,1,0.3824,0.5152,0.6788,High
1820-TQVEV,1,1,0.3824,0.5152,0.6789,High
0488-GSLFR,1,1,0.3824,0.5152,0.6789,High
6502-MJQAE,1,1,0.3824,0.5152,0.6788,High
6047-YHPVI,5,1,0.3823,0.5151,0.6788,High
4510-HIMLV,1,1,0.3823,0.5151,0.6787,High
2058-DCJBE,5,1,0.3823,0.5151,0.6788,High
4482-EWFMI,2,0,0.3823,0.5151,0.6788,High
4603-JANFB,1,1,0.3823,0.5151,0.6787,High
8630-FJLIB,18,0,0.3823,0.5151,0.6787,High
9804-ICWBG,1,1,0.3823,0.5151,0.6787,High
7245-NIIWQ,3,0,0.3823,0.5151,0.6787,High
2897-DOVND,2,0,0.3823,0.5151,0.6787,High
5875-YPQFJ,1,1,0.3823,0.5151,0.6787,High
5542-TBBWB,1,0,0.3823,0.5151,0.6787,High
0328-GRPMV,1,1,0.3822,0.515,0.6786,High
3884-HCSWG,17,1,0.3822,0.515,0.6786,High
3494-JCHRQ,1,1,0.3822,0.515,0.6786,High
4702-IOQDC,1,1,0.3822,0.515,0.6786,High
2482-CZGBB,10,1,0.3822,0.515,0.6786,High
7394-LWLYN,2,0,0.3822,0.5149,0.6786,High
1640-PLFMP,1,0,0.3821,0.5149,0.6785,High
9633-XQABV,3,0,0.3821,0.5149,0.6785,High
6653-CBBOM,1,1,0.3821,0.5149,0.6785,High
2446-PLQVO,1,1,0.3821,0.5149,0.6785,High
7465-ZZRVX,1,0,0.3821,0.5149,0.6785,High
9408-SSNVZ,4,1,0.3822,0.5149,0.6786,High
9717-QEBGU,2,0,0.3821,0.5149,0.6785,High
3244-DCJWY,1,1,0.3821,0.5149,0.6785,High
2568-BRGYX,4,1,0.3821,0.5149,0.6786,High
6077-BDPXA,3,0,0.3822,0.5149,0.6786,High
9506-UXUSK,13,0,0.3822,0.5149,0.6786,High
8270-RKSAP,9,0,0.382,0.5148,0.6784,High
5376-DEQCP,1,1,0.382,0.5147,0.6784,High
9237-HQITU,2,1,0.382,0.5147,0.6783,High
9432-VOFYX,17,0,0.3819,0.5147,0.6783,High
1031-IIDEO,1,1,0.3819,0.5146,0.6783,High
3721-CNEYS,2,1,0.3819,0.5146,0.6782,High
1769-GRUIK,18,0,0.3818,0.5145,0.6781,High
2101-RANCD,55,0,0.3811,0.5137,0.6772,High
8541-QVFKM,8,0,0.3809,0.5135,0.6771,High
6339-YPSAH,9,0,0.3808,0.5134,0.6769,High
0491-KAPQG,21,0,0.3809,0.5134,0.677,High
1450-SKCVI,56,1,0.3808,0.5133,0.6769,High
0122-OAHPZ,7,1,0.3808,0.5133,0.6769,High
0004-TLHLJ,4,1,0.3808,0.5133,0.6769,High
7801-KICAO,18,0,0.3807,0.5132,0.6768,High
9306-CPCBC,3,1,0.3807,0.5132,0.6767,High
3002-WQZWT,29,0,0.3807,0.5132,0.6768,High
4274-OWWYO,1,1,0.3806,0.5131,0.6767,High
0404-SWRVG,3,1,0.3806,0.5131,0.6767,High
4415-IJZTP,1,1,0.3806,0.5131,0.6766,High
8083-YTZES,4,1,0.3806,0.5131,0.6767,High
4282-YMKNA,9,1,0.3805,0.513,0.6765,High
1428-GTBJJ,11,1,0.3806,0.513,0.6766,High
5399-ZIMKF,5,0,0.3805,0.513,0.6766,High
4770-UEZOX,2,0,0.3805,0.513,0.6765,High
3765-JXVKY,1,1,0.3805,0.513,0.6765,High
8065-YKXKD,10,1,0.3805,0.513,0.6765,High
6358-LYNGM,1,1,0.3804,0.5129,0.6764,High
1475-VWVDO,7,0,0.3804,0.5129,0.6764,High
4090-KPJIP,3,0,0.3804,0.5129,0.6764,High
