customer_id,churn_score,risk_tier,monthly_potential_eur,upsell_priority,anomaly_score,is_anomaly,churn_norm,potential_norm,anomaly_norm,commercial_priority_score,commercial_segment,recommended_action,priority_tier
7206-GZCDC,0.8507,High,26.0,High,0.5147,0,0.9935491578067137,0.49713194,0.5147,0.7489,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3428-XZMAZ,0.8492,High,26.0,High,0.5115,0,0.9917572571974674,0.49713194,0.5115,0.7473,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
6457-GIRWB,0.8492,High,26.0,High,0.5115,0,0.9917572571974674,0.49713194,0.5115,0.7473,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
7660-HDPJV,0.8462,High,26.0,High,0.5147,0,0.988173455978975,0.49713194,0.5147,0.7462,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
9728-FTTVZ,0.8462,High,26.0,High,0.5147,0,0.988173455978975,0.49713194,0.5147,0.7462,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
7817-BOQPW,0.7822,High,20.08,High,0.8724,1,0.9117190299844702,0.38393882,0.8724,0.7455,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0488-GSLFR,0.8496,High,25.85,High,0.5051,0,0.9922350973599332,0.4942639,0.5051,0.7454,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
2276-YDAVZ,0.7463,High,20.37,High,0.9699,1,0.8688328754031777,0.38948378,0.9699,0.7452,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
2636-ALXXZ,0.8506,High,25.85,High,0.4986,0,0.9934296977660974,0.4942639,0.4986,0.7447,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8375-DKEBR,0.8506,High,25.85,High,0.4986,0,0.9934296977660974,0.4942639,0.4986,0.7447,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3716-BDVDB,0.8401,High,26.31,High,0.5155,0,0.9808863935013737,0.50305927,0.5155,0.7445,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0679-IDSTG,0.8423,High,26.01,High,0.5147,0,0.983514514394935,0.49732316,0.5147,0.7439,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1820-TQVEV,0.8485,High,25.85,High,0.5002,0,0.9909210369131526,0.4942639,0.5002,0.7438,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
7665-TOALD,0.8482,High,25.85,High,0.4986,0,0.9905626567913033,0.4942639,0.4986,0.7433,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
0637-KVDLV,0.8093,High,19.3,Medium,0.8022,1,0.9440927009915184,0.36902484,0.8022,0.7432,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
6502-MJQAE,0.8478,High,25.85,High,0.4986,0,0.9900848166288377,0.4942639,0.4986,0.743,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
2506-TNFCO,0.8469,High,25.85,High,0.5002,0,0.98900967626329,0.4942639,0.5002,0.7428,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1447-GIQMR,0.8365,High,26.31,High,0.5155,0,0.9765858320391829,0.50305927,0.5155,0.7423,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
1980-KXVPM,0.7594,High,20.39,High,0.9144,1,0.8844821407239278,0.38986614,0.9144,0.7421,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4871-JTKJF,0.8481,High,25.72,High,0.4962,0,0.9904431967506869,0.4917782,0.4962,0.742,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
8062-YBDOE,0.847,High,25.72,High,0.4962,0,0.9891291363039063,0.4917782,0.4962,0.7413,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3871-IKPYH,0.8344,High,26.31,High,0.5155,0,0.9740771711862383,0.50305927,0.5155,0.7411,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
7254-IQWOZ,0.8452,High,25.72,High,0.4962,0,0.9869788555728108,0.4917782,0.4962,0.7403,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4550-EVXNY,0.8444,High,25.73,High,0.4962,0,0.9860231752478796,0.4919694,0.4962,0.7398,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5539-TMZLF,0.8449,High,25.72,High,0.4886,0,0.9866204754509617,0.4917782,0.4886,0.7386,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5240-IJOQT,0.8464,High,20.7,High,0.6259,1,0.9884123760602079,0.39579353,0.6259,0.7381,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
9248-OJYKK,0.8508,High,19.19,Medium,0.6556,1,0.9936686178473301,0.36692163,0.6556,0.738,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
3551-HUAZH,0.8443,High,21.16,High,0.6118,1,0.9859037152072633,0.4045889,0.6118,0.7367,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4988-IQIGL,0.845,High,20.17,High,0.638,1,0.986739935491578,0.38565966,0.638,0.7367,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4806-HIPDW,0.8267,High,26.31,High,0.5155,0,0.9648787480587744,0.50305927,0.5155,0.7365,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
6424-ELEYH,0.8086,High,20.74,High,0.7291,1,0.9432564807072035,0.3965583,0.7291,0.7364,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
5550-VFRLC,0.8432,High,25.57,High,0.4869,0,0.9845896547604825,0.48891014,0.4869,0.7363,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
6358-LYNGM,0.8422,High,20.45,High,0.6359,1,0.9833950543543184,0.3910134,0.6359,0.7362,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
3519-ZKXGG,0.7509,High,19.74,Medium,0.9281,1,0.8743280372715327,0.37743786,0.9281,0.736,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
1157-BQCUW,0.8418,High,20.45,High,0.6359,1,0.9829172141918529,0.3910134,0.6359,0.7359,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4102-OQUPX,0.8425,High,21.16,High,0.6118,1,0.9837534344761678,0.4045889,0.6118,0.7356,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
6894-LFHLY,0.8458,High,19.74,Medium,0.6407,1,0.9876956158165094,0.37743786,0.6407,0.7352,Retain_InvestigateBill,Retencion urgente + revision de facturacion,High
8644-XLFBW,0.8302,High,24.55,High,0.5485,0,0.969059849480349,0.46940726,0.5485,0.7351,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
4510-HIMLV,0.8402,High,25.57,High,0.4877,0,0.9810058535419902,0.48891014,0.4877,0.7347,Retain_HighValue,Retencion urgente + oferta personalizada (cliente de alto valor),High
